id,followers,friends
122994855,"[4847632145,985253207650848768,969563837694226434,279220243,344686533,979504052148035584,2538862288,974841394597687296,40262562,959814513867546626,563946002,24298740,105993267,1485029462,969080784672915457,915452723117658114,185408588,55139098,4605992241,3107509399,839062163436236800,50016904,488846005,966781707365113856,272005759,888549759778263045,22686121,136788887,876544925868883968,332492813,861351894249230337,2835440601,47782111,27608225,956099262219280384,906402613247098880,3220023752,2207918077,239504757,756181732760641536,962326496919437313,28223924,2317274767,303949965,542257505,22239212,907270649613312000,594175317,957214199771475971,738911237367422976,934098756257173505,59297503,899969432193290250,954991232622694401,701502315212066816,902961812030742528,924699867506724864,14416109,832959982530338818,337764690,950484903635963907,62910994,1069127232,949143330973130752,868401995119341568,403032269,21966756,63476347,938881958855053312,940196458812362753,935889048371122177,20786079,2860980235,46771770,936056330393214977,15848824,852285303226339328,174953869,3435081873,2317812426,46483270,853794482,725445977553793025,560725438,899841603732459520,839478863356817413,290612472,925687309911048192,842063900069748736,2348077500,928799708142800897,34438002,1888207129,1620965394,724965928182636546,926919755914731520,17592291,921598168525029382,2515149524,924177379643273216]","[55139098,964531745893863425,407464670,4705692196,899969432193290250,14142000,22928737,15039583,28360658,47343502,101996227,42628524,244266650,23790958,54781907,236610403,997783117,3439517429,16800811,1266924426,1565907600,21795022,89542309,20733349,463250904,11342502,300359310,2548629139,77024036,15921584,207773875,21109556,20437286,819224053919739904,20202335,15147042,16405372,139785310,139159452,370898694,317370751,618295487,19263978,145307850,405676803,4267082849,170919460,40455685,870205638,58708289,33150288,355523149,55573873,487003995,22891564,369096389,50205873,28382675,74765623,26527127,292501997,16724890,10430722,1428569954,430048955,15339568,22801917,56346444,23701930,25525693,200709323,2307427692,184241421,158748736,1069348076,598573879,48490599,243676449,18215973,336091450,284082297,381643393,384457134,1077065203,784523119,92183278,14816237,259353171,72360510,23911915,91848357,31997610,52626929,14255427,57750410,59669635,310848070,183777696,29130250,16196492]"
229596604,"[960893318292037634,1537364828,247770444,708720589897383937,1607077230,235610841,960911705021743104,92895347,734832635688714245,947340209175146496,500324443,983838012290281473,980412535886237696,984362707867570176,849370470684254208,834642576959479809,973583881130663936,976992472868970496,983267123597279232,967782807811522565,3254047606,446132609,964616721247162368,873216268773593088,979453562039230465,981203196486889473,22869663,589511830,879797804453023744,77352228,1146358172,3312124672,965943477640073216,3009871927,17846444,555460373,623583708,4708232778,16703058,831651493329580032,25747814,1489283060,974316127051571201,973272579669667840,3420016992,861435127,953649784610545664,33597746,865938914430730242,916322392410075138,972161918055133184,972265968608120832,971611000939208704,950066895629189120,3162853197,972123290448908288,971732159915610112,971333688976953345,817595296297418752,42063881,822040230,968549206825807872,970131123589263360,78729783,966384829687320576,963791238704062464,969247678520578048,46315077,26296615,3127848671,888106742617219072,451546617,2382882206,103900026,966313474371604480,3280683548,280474225,204355437,1537114890,315596243,936270253277007877,959838137802371072,962892651723976705,1345822466,961963673869746176,1931667091,961593231980093442,15273001,3435554675,30964721,1614075091,960490912739717120,3084229300,537089226,1670731297,743869197273292800,930737170108653569,48972207,956973373208358913,915631213800558595]","[1607077230,69431084,15722673,967782807811522565,137407124,29770501,65698096,971611000939208704,306527400,46315077,487727825,42314856,817661098988019712,20076659,16613128,33611715,142849883,3196509656,715194876963528704,1917731,525636026,343041182,2853322953,14844867,217543151,930156806,832612650173493248,2569365247,80061207,2305566054,263453699,920789748368601088,911302336307490816,23970626,3094569115,4717892303,39308549,11766782,909376792129163264,16302354,2796174142,2920334210,1539931430,1131917492,77001991,19417492,25517146,85606078,47437206,842072478834909184,435396679,39384517,36404128,88784440,719461957,1283723094,22032000,822215679726100480,4821383453,251397498,2298534750,18029328,193160214,1582853809,1594736510,76438819,3335679053,369690065,266006481,2908170952,2382685057,141313671,20065096,14616304,2468238230,2316003960,256386408,4608269780,283078892,36053459,457984599,2825966488,4441661415,34109146,24710024,17904807,591973307,51241574,833963088,130600206,1209148250,16370676,36529101,4057797029,274255909,89460898,3836567859,263313059,24051377,55815964]"
293274246,"[86584390,829514767815446528,46476526,2763307171,4756413197,4358177186,150787115,1970256864,3372325253,3676684516,528373337,3435905465,2271142786,2807542987,624115434,3386341431,344270742,3348969537,194581517,232462789,1353334514,2960216764,28705807,611466681,1316143482,2963935977,1327816886,62392237,272296141,2514327602,359290176,301339467,1687669832,513643368,1408180579,374569123,2720499176,3361287628,2234304056,1052830682,3225797118,2170162849,2316563648,3256884264,3368561877,1451060570,839892632,613205437,33932036,192406120,79452776,189710534,3354405797,754304323,348049173,775079984,73042799,3148445048,2859258965,49173072,1175179428,2515297716,1722448537,3119970834,2377651609,3231522991,3169355258,225212175,3225719097,2347311265,798250560,3331354251,917610344,3254615241,711808821,189197486,345005688,1872419905,3080207855,368612893,27222520,636178878,34307158,3037344784,363472894,2266839152,18853536,259082252,468460833,3346266731,35514767,88884198,2543619421,18754296,19164499,1342500132,383251432,3337735396,3234623751,146139991]","[229385617,2990351733,356264723,237048406,79866560,870980580,55659987,288717884,102742011,332657163,1631240347,384518383,301794269,390905408,107611229,898564909,110234943,162609404,2380026891,620126097,2535661333,944905230,217634152,1638301561,301064790,2658070706,386632594,3115762359,63885161,1458681792,379578118,321173654,341357615,1220024010,1616771953,125982986,2437097306,47336979,18775482,17622705,21982677,854902633,241818989,1268314224,53210455,67815565,1506991172,739828292,2919910279,23553963,936894499,29786589,32600706,17881816,263315783,418355221,448119921,22738051,30438130,2209815486,182384817,87403396,37599351,747245726,18131864,844473619,30206035,358934985,415728346,2436867199,106817676,323859672,16557087,1345799390,2204273148,872164718,99118526,2443823527,2247566484,60833031,81422469,346760784,540490680,2173856581,878756299,451691647,2841325512,347004480,326439730,373713272,28443923,792999583,1679706217,288119204,892115894,2942098307,208568172,67373106,437616211,2185113224]"
317309166,"[121231141,963233447174115328,1976515178,3867911008,107444657,982259689109909505,35199169,15668861,983878112550293506,799960321603604481,833721872478982144,2332117465,957044740213608448,978039947037995008,981359780781490176,763418420205551616,4544109078,845779353661267968,1849366650,248396548,978726868911304704,978671303220781056,958150445234614272,886954594152198144,18539072,3009840040,960109321328541696,18432647,34066738,892211847084072960,911243188626739202,1441417592,974697192878493698,924376892,972605429107904512,941721092002951168,4395822733,940215656099778561,394383391,518875577,3750423807,263484851,953657249226002435,968274659232841728,964143967062364160,884358893404663808,964264419793539072,718375439367028737,797664863912886272,17524245,708484729,278852514,23337136,526136662,68157942,817905377165672452,22699286,851032499199381505,1562826410,961287334317772800,2581360378,964845970642137088,912741211982594048,951415741479239680,3104994607,2712232586,915765190452445184,277820269,263734243,240240618,816752817247354880,2504452422,959522541621653504,2176840494,2870900680,592003697,791475092282863616,958816346049011713,959535353727213568,959448874216812546,19653141,845735576863064064,946485781094326272,957281726061039622,2860336358,760257718674345984,935756923806343168,2377830487,118257751,107444340,818193081853943809,956320513604890625,1134731706,1004857255,954783021869207552,1859618210,859540946186366979,954368841823457280,1190787578,175616048]","[916935650,3025266412,2414877518,738376040821719042,39893981,1639241593,4268159897,25528176,41978228,24751297,35778956,65402672,107200917,2528067674,3239346701,37974496,246876217,4898733310,394284564,285618563,4330942037,281227025,11877492,14179819,235997284,709171633,22959072,21529239,100115449,429056099,3019980642,2945105585,629759252,1581140899,159505287,2587787342,605551554,1367531,236496908,344744452,269068209,2610248054,1400708448,135686901,1394937722,52596035,25520894,22527376,20071361,57674145,143890340,2459919896,18740765,2887160021,29748622,2745903805,83922884,1732406046,788103481,36681590,21829541,219379606,4833338333,4858668557,1670763313,211346360,792797630,202231820,102679174,116496141,117827375,20248450,97455945,92099336,18136692,266945920,227004812,492439686,83776946,293046977,91623524,203207314,55302970,724348956,30873225,85654592,916089162,323326279,14258321,306243624,323257927,174731958,57673909,250690180,126086726,20447674,30148694,48134899,318527551,132939070]"
1425763159,"[902002250268147712,2737363235,601535938,982206201654951939,489919847,833721872478982144,45196441,133504705,566710054,1528304256,279210639,45999119,145783714,1621869272,822505575070240771,803050447493885952,602920165,384330450,979730822,2731623863,975884833829347329,797401708737466368,973998275014488064,718119207288901632,944769408509136896,969278770619219970,958483891299504129,974683674301075456,4774391473,874640078303318016,350520758,869976599021592581,114289087,154564817,962335528921178112,17905597,842501808174063616,966830052733317120,121636398,30080773,970515076561227776,1093037551,2163080275,391535900,587940589,17075878,967140735823831040,391795505,19543108,965722024726421504,725743093555679232,30929637,1321187605,956620651,1018758206,964199003188613123,740890326399754240,949209259841146880,963071302763413504,890410782269120513,76069484,467891280,178556421,759084854000615424,960433797584973824,3139004704,4677356054,953031599095922688,2413165301,935016142577569792,111876516,2672472353,955052123024166912,2365781281,137762402,956360011617374208,4577860032,830522771805499392,258064385,3299745883,741327519861743617,938269130062532609,36024586,952013006510133249,302356408,40164665,28178623,950543373525553153,26887619,950363861533696000,947889410221203456,22791916,1752116294,948303832739729408,41622556,844710541847384064,917548845302771717,3977769363,837192244314529793,455809758]","[239101089,2977143428,785481991378481153,3028791033,45196441,36675745,880474976,3102957035,2288912777,27075980,65469862,34715911,106139364,726171560,17131882,822505575070240771,20776505,1621869272,16322617,501775386,474309032,22776999,2876823994,17288548,844710541847384064,39553603,102420809,47623256,3148336176,3302707694,785874526307430400,1450395391,752971711222472704,172051787,1364864402,718119207288901632,3031281028,1686642662,958483891299504129,63876312,761410949722939393,874640078303318016,935899052989968384,3188786766,1537168122,41796216,3139104866,711631762221178880,907260445639233536,114289087,18247062,17905597,26887619,154564817,514739922,2304991753,186037477,21664546,15510999,123312435,849737605759553538,1909063002,27042513,47786101,2893511188,819253697368702977,1416566329,819218095260762116,3338740758,84339984,456978202,611045296,724803221311496192,361372812,116530493,2646675516,50344220,22654469,1632942158,751950727371628544,35940348,600663197,39863949,517896779,63267459,40327911,3743596046,24778454,43903524,1559208697,4302292213,275200328,15667685,812600,529579419,16279673,588064879,15745368,2830051135,33106766]"
22693132,"[3793633156,986831212470824961,35476089,2707584582,932761829826277376,976545175936921600,960041968297496576,326785564,18651025,967617436693553152,24290995,1031885569,707861046,2293759616,156482121,21562276,957739942276349953,957006670210748416,3838783655,938180630155640832,953737093628428289,90015474,892586797204729856,327731522,945765428802084864,96119192,22064771,3332157957,922169461255393280,270502900,914165402699161600,722780659580854272,927335006158098432,31670157,834096117302321154,883158783454609408,750747761151086592,339750418,919329752879697926,2927272111,24227150,14395334,399303018,920904657702195200,859870914632187904,775395391965569024,2733968501,917937894697918465,907239356016070656,65339172,911327359030190086,81457290,1217224147,3240211803,902994056833355776,572277255,904666492289122306,39502875,6329512,903967030109278208,145071750,2823312696,231852779,2394350074,1959960830,894688700583497728,3341250821,893171690800336896,728384468159889408,17704879,36491229,3094370967,437331814,388581413,468185784,835905000949837824,20530304,2945596691,492185110,83464142,52071627,20950775,867563262665150466,864869675360038913,864125660972728321,864077078936813569,859649860647235584,18241444,856317814331846656,69373202,480900509,18514343,1197751,847012003390611457,822166543593275392,252504967,738088184,847535642678513665,171410996,73573945]","[30973,965266179836252161,938180630155640832,22179997,65707359,846812526767751168,920904657702195200,19981036,65339172,3240211803,17137891,53150802,937499232,432599292,31120814,1536684325,826586273825554433,31824920,563340346,32256288,97040343,26091643,58610989,22536055,18736458,21692703,2384095625,266582774,871014848,833849810,26886221,5920532,245203806,23394667,1479840834,562190552,89720430,69939644,1071777608,2332617303,4212060311,431499643,111141045,21867341,3232054991,2178243152,17919972,1093090866,24435245,69373202,2232016410,1536791610,476258341,39426070,613581916,14989742,17280286,223559591,18735040,402113732,383620184,62643312,15361570,260907612,422829398,2903882167,375340663,155961663,355156662,34176543,410201810,20463418,18952673,347926615,83668232,72687434,18622869,1335267692,831846590,24920417,426973441,1967216306,15164565,229175453,14295976,71569841,15007149,325830217,299234123,14074515,15647676,331681951,1649241619,15941955,344955115,90309830,22483298,2240756971,15716568,18893580]"
424409927,"[883710358309019648,932067884695719936,36889519,722069312307998721,955041270967218177,2913729867,729389364615254020,886524699878055936,792184063276752896,329642510,20894567,746712531893260288,982563143204339715,975875798900117506,981596992148209664,755870408470134784,21082924,923199578,949700826657943554,2176339064,3045317409,713015737,17906863,978920503,966330201377595392,35462016,965713209356406784,356685822,127217487,701712709,241222769,421983899,950959617043062784,797957183501647872,2955883691,958405256513236993,3553481892,298299421,151737593,4786071561,1720960315,16908775,45917475,76493480,15792106,950958689418129413,17839521,948254017003638786,84655621,948255316042448897,810617278245040128,808716329398181888,923796661909954560,938962307232813057,186694607,23279209,3169013006,840374359,760163466011414528,881979927406497793,1964971663,2872661847,33461335,216187106,1729827522,41415463,1304108556,58795183,104561629,2729700907,2166661206,40818962,258960093,17517658,794319576,896305885244510208,19834228,3000205525,870708867587493890,766317038759469057,887755326660935681,885582943653171200,451884942,783796062792388608,855193090927316998,872919059528118273,223141825,325663495,2864548701,793958545947561984,841278166677237761,967072975,366730697,797615193056571392,479488115,459581605,2202129450,852794146058153985,35879255,854079871378763776]","[221487721,20253808,45564482,32469289,61206610,29562655,26519347,70742961,1543721646,314065485,975875798900117506,755870408470134784,824869874526679041,1146724122,948946378939609089,637321201,122490839,713015737,93684678,30256559,965266179836252161,806627483072208896,84655621,127217487,948576145548693506,1017637447,241222769,421983899,797957183501647872,103620256,214140713,941510903006154760,298158534,226320142,788862983543853056,45869233,16560657,314797639,2864548701,978920503,2728629757,612966000,412549497,9542972,252751061,20609518,308149975,168932979,1314627823,907123482,833520330954067969,2573480784,4828272875,939091,409486555,471503110,766317038759469057,16547325,23641580,2303751216,12245632,14529929,93069110,19834228,424087650,43464013,872919059528118273,325663495,43951557,778365522,2593403700,2202129450,14616610,258960093,318453381,104589290,17470695,60056154,735603961,14289203,20598720,28191495,297608951,2436559146,174450940,12008602,4852122374,19107878,187306035,826768304861741056,373157754,2800581040,911780719,235667692,51540150,28608699,52544275,811814247747481600,2155563823,1367531]"
